DEPTH,BS,GR,DTCO,DTSM,MSFL,LLD,LLS,RHOB,SP,NPHI,DRHO
195.2244,-999,-999,-999,-999,-999,-999,-999,2.1393,-999,0.3712,-0.6302
195.3768,-999,-999,-999,-999,-999,-999,-999,2.1393,-999,0.3586,-0.6302
195.5292,-999,-999,-999,-999,-999,-999,-999,2.2405,-999,0.3622,-0.6097
195.6816,-999,57.0486,-999,-999,2000,0.3057,0.1775,2.3981,241.375,0.3419,-0.5462
195.834,-999,59.8733,-999,-999,2000,0.2576,0.1387,2.4928,241.1875,0.3291,-0.4986
195.9864,-999,62.4668,-999,-999,2000,0.2501,0.1298,2.406,240.75,0.335,-0.5204
196.1388,-999,61.7738,-999,-999,2000,0.2926,0.17,2.2694,240.5625,0.3643,-0.5555
196.2912,-999,61.0058,-999,-999,2000,0.2454,0.1486,2.1951,240.1875,0.4007,-0.5623
196.4436,-999,57.5933,-999,-999,2000,0.2437,0.1491,2.1269,239.8125,0.4075,-0.5754
196.596,-999,55.6833,-999,-999,2000,0.2341,0.1476,2.0856,239.4375,0.4062,-0.5923
196.7484,-999,55.9563,-999,-999,9.061,0.2334,0.1493,2.0804,238.8125,0.4143,-0.594
196.9008,-999,54.9912,-999,-999,22.286,0.2254,0.1485,2.0862,238.1875,0.4156,-0.5963
197.0532,-999,58.4019,-999,-999,2000,0.224,0.1485,2.1014,237.5625,0.4257,-0.5944
197.2056,-999,60.1878,-999,-999,100.3204,0.2213,0.1488,2.107,236.6875,0.4104,-0.5939
197.358,-999,63.8713,-999,-999,96.8597,0.2079,0.1493,2.1345,235.1875,0.3941,-0.576
197.5104,-999,61.9819,-999,-999,8.9346,0.2058,0.1481,2.1553,233.875,0.3813,-0.5618
197.6628,-999,61.2881,-999,-999,2000,0.1948,0.1489,2.1678,232.9375,0.3679,-0.5505
197.8152,-999,60.6144,-999,-999,3.0284,0.192,0.148,2.1745,232.375,0.3816,-0.5474
197.9676,-999,60.3311,-999,-999,2000,0.1792,0.1484,2.1754,232.25,0.3716,-0.5487
198.12,-999,58.147,-999,-999,2000,0.1735,0.1497,2.1392,232.3125,0.3726,-0.5711
198.2724,-999,56.1023,-999,-999,2000,0.169,0.1501,2.0631,232.5,0.3839,-0.6085
198.4248,-999,58.4114,-999,-999,7.1099,0.1713,0.1521,1.9653,232.75,0.4174,-0.6487
198.5772,-999,61.2666,-999,-999,118.6982,0.1722,0.1574,1.9339,232.5625,0.4036,-0.6644
